111,Touch the Sky,by Future,High Off Life,Rap,2020-05-15,
20,Trap Niggas,by Future,DS2 (Deluxe),Rap,2015-07-17,
109,Trapped in the Sun,by Future,High Off Life,Rap,2020-05-15,
108,Tricks on Me,by Future,The Wizrd,Rap,2019-01-18,
117,Trillionaire (featuring YoungBoy Never Broke Again),by Future,High Off Life,Rap,2020-05-15,
66,Turn on Me,by Future,Hndrxx,Rap,2017-02-24,
127,Tycoon,by Future,High Off Life,Rap,2020-05-15,
103,Unicorn Purp (featuring Young Thug and Gunna),by Future,The Wizrd,Rap,2019-01-18,
119,Up the River,by Future,High Off Life,Rap,2020-05-15,
57,Use Me,by Future,Hndrxx,Rap,2017-02-24,
132,Wait for U (featuring Drake and Tems),by Future,I Never Liked You,Rap,2022-04-29,
51,When I Was Broke,by Future,Future,Rap,2017-02-17,
9,Where Ya At,by Future (feat. Drake),DS2,Rap,2015-07-17,
28,Xanny Family,by Future,Evol,Rap,2016-02-06,
71,You da Baddest,by Future (feat. Nicki Minaj),Hndrxx (Deluxe),Rap,2017-02-24,
38,Zoom,by Future,Future,Rap,2017-02-17,
